metric,value,year,source
Launch services value (est.),5500000000,2016,"FAA AST 2018 Compendium"
Global space economy (est.),345000000000,2016,"FAA AST 2018 Compendium"
Orbital launches (worldwide),90,2017,"FAA AST 2018 Compendium"
FAA-licensed launches,23,2017,"FAA AST 2018 Compendium"
US commercial share (approx.),0.54,2017,"FAA AST 2018 Compendium"
Private LEO station revenue potential (low),455000000,2017,"IDA STPI P-8247"
Private LEO station revenue potential (high),1187000000,2017,"IDA STPI P-8247"
